paragrafnummer,group_count,token,msd,lemma,lex,sense,complemgram,compwf,sentimentclass,ref,dephead,deprel,sentimentval,category,average_sentiment
1644,11,En,DT.UTR.SIN.IND,|en|,|en..al.1|,|den..1:-1.000|en..2:-1.000|,|,|,,1,2,DT,-1,Flashback: Politik,1
1644,11,skattesubvention,NN.UTR.SIN.IND.NOM,|skattesubvention|,|skattesubvention..nn.1|,|skattesubvention..1:-1.000|,|skatt..nn.1+subvention..nn.1:8.806e-14|,|skatte+subvention|,,2,6,SS,-1,Flashback: Politik,1
1644,11,av,PP,|av|,|av..pp.1|,|av..1:-1.000|,|,|,,3,2,ET,-1,Flashback: Politik,1
1644,11,hushållsnära,JJ.POS.UTR+NEU.PLU.IND+DEF.NOM,|hushållsnära|hushållsnära tjänst|,|hushållsnära..av.1|hushållsnära_tjänst..nnm.1|,|hushållsnära..1:-1.000|hushållsnära_tjänster..1:-1.000|,|hushåll..nn.1+nära..av.1:9.862e-13|hus..nn.1+håll..nn.1+nära..av.1:3.569e-25|,|hushålls+nära|hus+hålls+nära|,,4,5,AT,-1,Flashback: Politik,1
1644,11,tjänster,NN.UTR.PLU.IND.NOM,|tjänst|hushållsnära tjänst:04|,|tjänst..nn.1|tjänst..nn.2|hushållsnära_tjänst..nnm.1:04|,|tjänst..3:0.979|tjänst..1:0.018|tjänst..2:0.002|tjänst..4:0.001|hushållsnära_tjänster..1:04:-1.000|,|,|,1.0,5,3,PA,-1,Flashback: Politik,1
1644,11,leder,VB.PRS.AKT,|leda|,|leda..vb.1|,|leda..7:0.926|leda..1:0.032|leda..5:0.024|leda..6:0.009|leda..2:0.005|leda..8:0.004|,|,|,-0.0,6,0,ROOT,-1,Flashback: Politik,1
1644,11,inte,AB,|inte|,|inte..ab.1|,|inte..1:-1.000|,|,|,,7,6,,-1,Flashback: Politik,1
1644,11,till,PP,|till|,|till..pp.1|,|till..1:-1.000|,|,|,,8,6,OA,-1,Flashback: Politik,1
1644,11,ökad,PC.PRF.UTR.SIN.IND.NOM,|öka|,|öka..vb.2|,|öka..2:-1.000|,|,|,0.0,9,10,AT,-1,Flashback: Politik,1
1644,11,sysselsättning,NN.UTR.SIN.IND.NOM,|sysselsättning|,|sysselsättning..nn.1|,|sysselsättning..1:-1.000|,|,|,0.0,10,8,PA,-1,Flashback: Politik,1
1644,11,.,MAD,|,|,|,|,|,,11,6,IP,-1,Flashback: Politik,1
750,6,Men,KN,|men|,|men..kn.1|,|men..1:-1.000|,|,|,,1,0,ROOT,-1,Bloggmix 2017,0
750,6,vi,PN.UTR.PLU.DEF.SUB,|vi|,|vi..pn.1|,|vi..1:-1.000|,|,|,,2,3,SS,-1,Bloggmix 2017,0
750,6,gjorde,VB.PRT.AKT,|göra|,|göra..vb.1|,|göra..1:0.899|göra..2:0.057|göra..3:0.044|,|,|,-0.0,3,1,MS,-1,Bloggmix 2017,0
750,6,inte,AB,|inte|,|inte..ab.1|,|inte..1:-1.000|,|,|,,4,3,,-1,Bloggmix 2017,0
750,6,det,PN.NEU.SIN.DEF.SUB+OBJ,|den|,|den..pn.1|,|den..2:-1.000|,|,|,,5,3,OO,-1,Bloggmix 2017,0
750,6,.,MAD,|,|,|,|,|,,6,3,IP,-1,Bloggmix 2017,0
1392,10,Dessa,DT.UTR+NEU.PLU.DEF,|denna|,|denna..pn.1|,|denna..1:-1.000|,|,|,,1,2,DT,-1,Bloggmix 2017,1
1392,10,sanktioner,NN.UTR.PLU.IND.NOM,|sanktion|,|sanktion..nn.1|,|sanktion..1:0.818|sanktion..2:0.182|,|,|,1.0,2,3,SS,-1,Bloggmix 2017,1
1392,10,bygger,VB.PRS.AKT,|bygga|,|bygga..vb.1|,|bygga..1:-1.000|,|bygga..vb.1+ge..vb.1:6.069e-13|,|bygg+ger|,-0.0,3,0,ROOT,-1,Bloggmix 2017,1
1392,10,inte,AB,|inte|,|inte..ab.1|,|inte..1:-1.000|,|,|,,4,3,,-1,Bloggmix 2017,1
