paragrafnummer,token,msd,lemma,lex,sense,complemgram,compwf,sentimentclass,ref,dephead,deprel,sentimentval,category,average_sentiment
1,Vårens,NN.UTR.SIN.DEF.GEN,|vår|,|vår..nn.1|,|vår..1:-1.000|,|,|,0.0,1,3,DT,1,egna meningar,0
1,första,RO.NOM,|,|,|,|,|,,2,3,DT,1,egna meningar,0
1,blommor,NN.UTR.PLU.IND.NOM,|blomma|,|blomma..nn.1|,|blomma..1:-1.000|,|blomma..nn.1+mor..nn.2:1.816e-11|blom..nn.1+mor..nn.1:1.816e-11|blom..nn.1+mor..nn.2:1.816e-11|blomma..nn.1+mor..nn.1:1.816e-11|blomma..vb.1+mor..nn.2:4.277e-20|blomma..vb.1+mor..nn.1:4.277e-20|,|blom+mor|,0.0,3,4,SS,1,egna meningar,0
1,har,VB.PRS.AKT,|ha|,|ha..vb.1|,|ha..3:0.504|ha..1:0.496|,|,|,0.0,4,0,ROOT,1,egna meningar,0
1,börjat,VB.SUP.AKT,|börja|,|börja..vb.1|börja..vb.2|,|börja..2:0.515|börja..1:0.485|,|,|,0.0,5,4,VG,1,egna meningar,0
1,blomma,VB.INF.AKT,|blomma|,|blomma..vb.1|,|blomma..2:-1.000|,|,|,0.0,6,5,VG,1,egna meningar,0
1,i,PP,|i|,|i..pp.1|,|i..2:-1.000|,|,|,,7,6,RA,1,egna meningar,0
1,trädgården,NN.UTR.SIN.DEF.NOM,|trädgård|,|trädgård..nn.1|,|trädgård..1:-1.000|,|träd..nn.1+gård..nn.1:8.230e-11|träda..nn.1+gård..nn.2:8.230e-11|träda..nn.1+gård..nn.1:8.230e-11|träd..nn.1+gård..nn.2:8.230e-11|träda..vb.1+gård..nn.2:1.676e-20|träda..vb.2+gård..nn.2:1.676e-20|trä..vb.1+gård..nn.1:1.676e-20|träda..vb.1+gård..nn.1:1.676e-20|träda..vb.2+gård..nn.1:1.676e-20|trä..vb.1+gård..nn.2:1.676e-20|,|träd+gården|,0.0,8,7,PA,1,egna meningar,0
1,.,MAD,|,|,|,|,|,,9,4,IP,1,egna meningar,0
2,Jag,PN.UTR.SIN.DEF.SUB,|jag|,|jag..pn.1|,|jag..1:-1.000|,|,|,,1,2,SS,1,egna meningar,1
2,blev,VB.PRT.AKT,|bli|,|bli..vb.1|,|bli..1:0.820|bli..2:0.180|,|,|,0.0,2,0,ROOT,1,egna meningar,1
2,upplyft,PC.PRF.UTR.SIN.IND.NOM,|upplyft|,|upplyft..av.1|,|upplyft..1:-1.000|,|upp..ab.1+lyfta..vb.1:6.154e-10|,|upp+lyft|,,3,2,SP,1,egna meningar,1
2,av,PP,|av|,|av..pp.1|,|av..1:-1.000|,|,|,,4,2,AG,1,egna meningar,1
2,det,DT.NEU.SIN.DEF,|en|den|,|en..al.1|den..pn.1|,|den..1:-1.000|en..2:-1.000|den..2:-1.000|,|,|,,5,6,DT,1,egna meningar,1
2,stöd,NN.NEU.SIN.IND.NOM,|stöd|,|stöd..nn.1|,|stöd..1:0.855|stöd..2:0.145|,|,|,1.0,6,4,PA,1,egna meningar,1
2,jag,PN.UTR.SIN.DEF.SUB,|jag|,|jag..pn.1|,|jag..1:-1.000|,|,|,,7,8,SS,1,egna meningar,1
2,fick,VB.PRT.AKT,|få|,|få..vb.1|,|få..1:0.938|få..3:0.062|,|,|,1.0,8,6,ET,1,egna meningar,1
2,från,PP,|från|,|från..pp.1|,|från..1:-1.000|,|,|,,9,8,RA,1,egna meningar,1
2,mina,PS.UTR+NEU.PLU.DEF,|jag|,|jag..pn.1|,|jag..1:-1.000|,|,|,,10,11,DT,1,egna meningar,1
2,kollegor,NN.UTR.PLU.IND.NOM,|kollega|,|kollega..nn.1|,|kollega..1:-1.000|,|koll..nn.2+lega..nn.1:3.860e-13|koll..nn.1+lega..nn.1:3.860e-13|kol..nn.1+lega..nn.1:2.602e-14|kola_2..vb.1+lega..nn.1:1.206e-23|kola..vb.1+lega..nn.1:1.206e-23|,|koll+legor|kol+legor|,0.0,11,9,PA,1,egna meningar,1
2,.,MAD,|,|,|,|,|,,12,2,IP,1,egna meningar,1
3,Den,DT.UTR.SIN.DEF,|en|den|,|en..al.1|den..pn.1|,|den..1:-1.000|en..2:-1.000|den..2:-1.000|,|,|,,1,3,DT,1,egna meningar,-1
3,nya,JJ.POS.UTR+NEU.SIN.DEF.NOM,|ny|,|ny..av.1|,|ny..1:-1.000|,|,|,0.0,2,3,AT,1,egna meningar,-1
3,kaffebaren,NN.UTR.SIN.DEF.NOM,|kaffebar|,|kaffebar..nn.1|,|kaffebar..1:-1.000|,|kaffe..nn.1+bar..nn.2:1.186e-10|kaffe..nn.1+bar..nn.1:1.186e-10|,|kaffe+baren|,,3,6,SS,1,egna meningar,-1
3,i,PP,|i|,|i..pp.1|,|i..2:-1.000|,|,|,,4,3,ET,1,egna meningar,-1
3,grannskapet,NN.NEU.SIN.DEF.NOM,|grannskap|,|grannskap..nn.1|,|grannskap..1:-1.000|,|granne..nn.1+skap..nn.1:1.311e-12|grann..nn.1+skap..nn.1:1.311e-12|grann..av.1+skap..nn.1:4.873e-15|,|grann+skapet|grann+ska+pet|,,5,4,HD,1,egna meningar,-1
3,serverar,VB.PRS.AKT,|servera|,|servera..vb.1|,|servera..1:-1.000|,|,|,0.0,6,0,ROOT,1,egna meningar,-1
3,utsökt,PC.PRF.UTR.SIN.IND.NOM,|utsöka|utsökt|,|utsöka..vb.1|utsökt..av.1|,|utsöka..1:0.586|utsökt..1:0.414|,|ut..ab.1+söka..vb.1:3.012e-09|ut..ab.1+sökt..av.1:2.023e-11|,|ut+sökt|,-1.0,7,8,AT,1,egna meningar,-1
3,espresso,NN.UTR.SIN.IND.NOM,|espresso|,|espresso..nn.1|,|espresso..1:-1.000|,|,|,,8,6,OO,1,egna meningar,-1
3,.,MAD,|,|,|,|,|,,9,6,IP,1,egna meningar,-1
4,Att,IE,|att|,|att..sn.1|,|att..1:-1.000|,|,|,,1,7,SS,1,egna meningar,1
4,lyssna,VB.INF.AKT,|lyssna|,|lyssna..vb.1|,|lyssna..1:-1.000|,|,|,0.0,2,1,IF,1,egna meningar,1
4,på,PP,|på|,|på..pp.1|,|på..1:-1.000|,|,|,,3,2,AA,1,egna meningar,1
4,musik,NN.UTR.SIN.IND.NOM,|musik|,|musik..nn.1|,|musik..1:-1.000|,|,|,0.0,4,3,HD,1,egna meningar,1
4,på,PP,|på|,|på..pp.1|,|på..1:-1.000|,|,|,,5,2,OA,1,egna meningar,1
4,morgonen,NN.UTR.SIN.DEF.NOM,|morgon|,|morgon..nn.1|,|morgon..1:-1.000|,|mor..nn.1+gon..nn.1:1.371e-13|mor..nn.2+gon..nn.1:1.371e-13|mora..nn.1+gon..nn.1:1.371e-13|mor..nn.2+go..nn.2+n..nn.1:2.522e-25|mor..nn.2+go..nn.2+nen..nn.1:2.522e-25|mora..nn.1+go..nn.2+n..nn.1:2.522e-25|mor..nn.1+go..nn.2+n..nn.1:2.522e-25|mor..nn.2+go..nn.1+nen..nn.1:2.522e-25|mora..nn.1+go..nn.1+nen..nn.1:2.522e-25|mor..nn.1+go..nn.2+nen..nn.1:2.522e-25|mor..nn.2+go..nn.1+n..nn.1:2.522e-25|mora..nn.1+go..nn.1+n..nn.1:2.522e-25|mor..nn.1+go..nn.1+nen..nn.1:2.522e-25|mor..nn.1+go..nn.1+n..nn.1:2.522e-25|mora..nn.1+go..nn.2+nen..nn.1:2.522e-25|mor..nn.2+go..av.1+n..nn.1:9.768e-27|mora..nn.1+go..av.1+n..nn.1:9.768e-27|mor..nn.1+go..av.1+nen..nn.1:9.768e-27|mor..nn.1+go..av.1+n..nn.1:9.768e-27|mor..nn.2+go..av.1+nen..nn.1:9.768e-27|mora..nn.1+go..av.1+nen..nn.1:9.768e-27|,|mor+gonen|mor+go+nen|,0.0,6,5,PA,1,egna meningar,1
4,gör,VB.PRS.AKT,|göra|göra sig|,|göra..vb.1|göra_sig..vbm.1|,|göra..1:0.790|göra..2:0.145|göra..3:0.065|göra_sig..1:-1.000|göra_sig..2:-1.000|göra_sig..3:-1.000|,|,|,0.0,7,0,ROOT,1,egna meningar,1
4,mig,PN.UTR.SIN.DEF.OBJ,|jag|göra sig:07|,|jag..pn.1|göra_sig..vbm.1:07|,|jag..1:-1.000|göra_sig..1:07:-1.000|göra_sig..2:07:-1.000|göra_sig..3:07:-1.000|,|,|,,8,7,OO,1,egna meningar,1
4,glad,JJ.POS.UTR.SIN.IND.NOM,|glad|,|glad..av.1|,|glad..1:-1.000|,|,|,1.0,9,7,OP,1,egna meningar,1
4,hela,JJ.POS.UTR+NEU.SIN.DEF.NOM,|hel|hela dagen|,|hel..av.1|hela_dagen..abm.1|,|hel..1:0.725|hel..2:0.275|hela_dagen..1:-1.000|,|,|,0.0,10,11,DT,1,egna meningar,1
4,dagen,NN.UTR.SIN.DEF.NOM,|dag|hela dagen:10|,|dag..nn.1|hela_dagen..abm.1:10|,|dag..1:0.791|dag..2:0.209|hela_dagen..1:10:-1.000|,|,|,0.0,11,7,TA,1,egna meningar,1
4,.,MAD,|,|,|,|,|,,12,7,IP,1,egna meningar,1
5,Jag,PN.UTR.SIN.DEF.SUB,|jag|,|jag..pn.1|,|jag..1:-1.000|,|,|,,1,2,SS,1,egna meningar,1
5,är,VB.PRS.AKT,|vara|,|vara..vb.1|,|vara..1:-1.000|,|,|,0.0,2,0,ROOT,1,egna meningar,1
5,tacksam,JJ.POS.UTR.SIN.IND.NOM,|tacksam|,|tacksam..av.1|,|tacksam..1:0.989|tacksam..2:0.011|,|,|,1.0,3,2,SP,1,egna meningar,1
5,för,PP,|för|,|för..pp.1|,|för..1:-1.000|för..5:-1.000|för..6:-1.000|för..7:-1.000|för..9:-1.000|,|,|,,4,2,OA,1,egna meningar,1
5,de,DT.UTR+NEU.PLU.DEF,|en|,|en..al.1|,|den..1:-1.000|en..2:-1.000|,|,|,,5,7,DT,1,egna meningar,1
5,lugna,JJ.POS.UTR+NEU.PLU.IND+DEF.NOM,|lugn|,|lugn..av.1|,|lugn..1:0.937|lugn..3:0.063|,|,|,1.0,6,7,AT,1,egna meningar,1
5,stunderna,NN.UTR.PLU.DEF.NOM,|stund|,|stund..nn.1|,|stund..1:-1.000|,|,|,0.0,7,4,PA,1,egna meningar,1
5,jag,PN.UTR.SIN.DEF.SUB,|jag|,|jag..pn.1|,|jag..1:-1.000|,|,|,,8,9,SS,1,egna meningar,1
5,får,VB.PRS.AKT,|få|,|få..vb.1|,|få..1:0.771|få..3:0.229|,|,|,1.0,9,7,ET,1,egna meningar,1
5,för,PP,|för|,|för..pp.1|,|för..1:-1.000|för..5:-1.000|för..6:-1.000|för..7:-1.000|för..9:-1.000|,|,|,,10,9,OA,1,egna meningar,1
5,mig,PN.UTR.SIN.DEF.OBJ,|jag|,|jag..pn.1|,|jag..1:-1.000|,|,|,,11,10,PA,1,egna meningar,1
5,själv,JJ.POS.UTR.SIN.IND.NOM,|själv|,|själv..pn.1|,|själv..1:-1.000|själv..2:-1.000|själv..3:-1.000|,|,|,,12,11,PT,1,egna meningar,1
5,.,MAD,|,|,|,|,|,,13,2,IP,1,egna meningar,1
6,En,DT.UTR.SIN.IND,|en|,|en..al.1|,|den..1:-1.000|en..2:-1.000|,|,|,,1,3,DT,1,egna meningar,0
6,främmande,JJ.POS.UTR+NEU.SIN+PLU.IND+DEF.NOM,|främmande|,|främmande..av.1|,|främmande..1:-1.000|,|,|,0.0,2,3,AT,1,egna meningar,0
6,person,NN.UTR.SIN.IND.NOM,|person|,|person..nn.1|,|person..1:-1.000|,|pers..nn.2+o..nn.1:4.421e-19|pers..nn.1+o..nn.1:4.421e-19|,|pers+on|per+son|,0.0,3,4,SS,1,egna meningar,0
6,hjälpte,VB.PRT.AKT,|hjälpa|,|hjälpa..vb.1|,|hjälpa..1:-1.000|,|,|,1.0,4,0,ROOT,1,egna meningar,0
6,mig,PN.UTR.SIN.DEF.OBJ,|jag|,|jag..pn.1|,|jag..1:-1.000|,|,|,,5,4,OO,1,egna meningar,0
6,när,HA,|när|,|när..ab.1|,|när..1:0.901|nära..1:0.099|,|,|,,6,8,TA,1,egna meningar,0
6,jag,PN.UTR.SIN.DEF.SUB,|jag|,|jag..pn.1|,|jag..1:-1.000|,|,|,,7,8,SS,1,egna meningar,0
6,tappade,VB.PRT.AKT,|tappa|,|tappa..vb.1|,|tappa..1:0.676|tappa..3:0.264|tappa..2:0.060|,|,|,-1.0,8,4,TA,1,egna meningar,0
6,mina,PS.UTR+NEU.PLU.DEF,|jag|,|jag..pn.1|,|jag..1:-1.000|,|,|,,9,10,DT,1,egna meningar,0
6,saker,NN.UTR.PLU.IND.NOM,|sak|,|sak..nn.1|,|sak..1:0.983|sak..3:0.014|sak..2:0.003|,|,|,0.0,10,8,OO,1,egna meningar,0
6,på,PP,|på|,|på..pp.1|,|på..1:-1.000|,|,|,,11,8,OA,1,egna meningar,0
6,gatan,NN.UTR.SIN.DEF.NOM,|gata|,|gata..nn.1|,|gata..1:-1.000|,|,|,0.0,12,11,PA,1,egna meningar,0
6,.,MAD,|,|,|,|,|,,13,4,IP,1,egna meningar,0
7,Jag,PN.UTR.SIN.DEF.SUB,|jag|,|jag..pn.1|,|jag..1:-1.000|,|,|,,1,2,SS,1,egna meningar,1
7,klarade,VB.PRT.AKT,|klara|,|klara..vb.1|klara..vb.2|,|klara..1:0.815|klara..2:0.102|klara..3:0.083|,|,|,1.0,2,0,ROOT,1,egna meningar,1
7,körkortstestet,NN.NEU.SIN.DEF.NOM,|körkortstest|,|,|,|körkort..nn.1+test..nn.1:7.838e-13|köra..vb.1+kort..nn.1+test..nn.1:7.084e-19|kör..nn.1+kort..nn.1+test..nn.1:2.466e-19|,|körkorts+testet|kör+korts+testet|,,3,2,OO,1,egna meningar,1
7,på,PP,|på|,|på..pp.1|,|på..1:-1.000|,|,|,,4,2,OA,1,egna meningar,1
7,första,RO.NOM,|,|,|,|,|,,5,6,DT,1,egna meningar,1
7,försöket,NN.NEU.SIN.DEF.NOM,|försök|,|försök..nn.1|,|försök..2:0.552|försök..1:0.448|,|föra..vb.1+sök..nn.1:2.403e-14|för..nn.1+sök..nn.1:5.006e-17|före..nn.1+ök..nn.1:8.234e-22|,|för+söket|förs+öket|,0.0,6,4,PA,1,egna meningar,1
7,!,MAD,|,|,|,|,|,,7,2,IU,1,egna meningar,1
8,Helgens,NN.UTR.SIN.DEF.GEN,|helg|,|helg..nn.1|,|helg..1:-1.000|,|hel..av.1+gen..nn.1:2.740e-14|Helge..pm.1+n..nn.1:3.640e-16|hela..nn.1+gen..nn.1:1.759e-20|hela..vb.1+gen..nn.1:6.478e-22|Hel..pm.1+gen..nn.1:6.000e-24|,|hel+gens|Helge+ns|Hel+gens|,0.0,1,2,DT,1,egna meningar,0
8,utflykt,NN.UTR.SIN.IND.NOM,|utflykt|,|utflykt..nn.1|,|utflykt..1:-1.000|,|ut..ab.1+flykt..nn.2:5.752e-10|ut..ab.1+flykt..nn.1:5.752e-10|,|ut+flykt|,,2,5,SS,1,egna meningar,0
8,till,PP,|till|,|till..pp.1|,|till..1:-1.000|,|,|,,3,2,ET,1,egna meningar,0
8,landsbygden,NN.UTR.SIN.DEF.NOM,|landsbygd|,|landsbygd..nn.1|,|landsbygd..1:-1.000|,|land..nn.1+bygd..nn.1:4.727e-12|land..nn.3+bygd..nn.1:4.727e-12|land..nn.2+bygd..nn.1:4.727e-12|,|lands+bygden|,,4,3,PA,1,egna meningar,0
8,var,VB.PRT.AKT,|vara|,|vara..vb.1|,|vara..1:-1.000|,|,|,0.0,5,0,ROOT,1,egna meningar,0
8,precis,AB,|precis|,|precis..ab.1|,|precis..1:-1.000|,|,|,,6,5,CA,1,egna meningar,0
8,vad,HP.NEU.SIN.IND,|vad|,|vad..pn.1|,|vad..1:-1.000|,|,|,,7,9,OO,1,egna meningar,0
8,jag,PN.UTR.SIN.DEF.SUB,|jag|,|jag..pn.1|,|jag..1:-1.000|,|,|,,8,9,SS,1,egna meningar,0
8,behövde,VB.PRT.AKT,|behöva|,|behöva..vb.1|,|behöva..1:-1.000|,|,|,0.0,9,5,VG,1,egna meningar,0
8,.,MAD,|,|,|,|,|,,10,5,IP,1,egna meningar,0
9,Min,PS.UTR.SIN.DEF,|jag|,|jag..pn.1|,|jag..1:-1.000|,|,|,,1,2,DT,1,egna meningar,0
9,trädgård,NN.UTR.SIN.IND.NOM,|trädgård|,|trädgård..nn.1|,|trädgård..1:-1.000|,|träd..nn.1+gård..nn.1:5.873e-11|träda..nn.1+gård..nn.2:5.873e-11|träda..nn.1+gård..nn.1:5.873e-11|träd..nn.1+gård..nn.2:5.873e-11|träda..vb.1+gård..nn.2:1.196e-20|trä..vb.1+gård..nn.2:1.196e-20|träda..vb.1+gård..nn.1:1.196e-20|träda..vb.2+gård..nn.1:1.196e-20|trä..vb.1+gård..nn.1:1.196e-20|träda..vb.2+gård..nn.2:1.196e-20|,|träd+gård|,0.0,2,3,SS,1,egna meningar,0
9,är,VB.PRS.AKT,|vara|,|vara..vb.1|,|vara..1:-1.000|,|,|,0.0,3,0,ROOT,1,egna meningar,0
9,full,JJ.POS.UTR.SIN.IND.NOM,|full|,|full..av.1|,|full..1:0.974|full..2:0.026|,|,|,0.0,4,3,SP,1,egna meningar,0
9,av,PP,|av|,|av..pp.1|,|av..1:-1.000|,|,|,,5,8,DT,1,egna meningar,0
9,färgglada,JJ.POS.UTR+NEU.PLU.IND+DEF.NOM,|färgglad|,|färgglad..av.1|,|färgglad..1:-1.000|,|färg..nn.1+glad..av.1:5.450e-11|färg..nn.2+glad..av.1:5.450e-11|färga..vb.1+glad..av.1:3.532e-21|,|färg+glada|,,6,8,AT,1,egna meningar,0
9,blommor,NN.UTR.PLU.IND.NOM,|blomma|,|blomma..nn.1|,|blomma..1:-1.000|,|blomma..nn.1+mor..nn.2:1.816e-11|blom..nn.1+mor..nn.1:1.816e-11|blom..nn.1+mor..nn.2:1.816e-11|blomma..nn.1+mor..nn.1:1.816e-11|blomma..vb.1+mor..nn.2:4.277e-20|blomma..vb.1+mor..nn.1:4.277e-20|,|blom+mor|,0.0,7,8,CJ,1,egna meningar,0
9,och,KN,|och|,|och..kn.1|,|och..1:-1.000|,|,|,,8,3,OA,1,egna meningar,0
9,fjärilar,NN.UTR.PLU.IND.NOM,|fjäril|,|fjäril..nn.1|,|fjäril..1:-1.000|,|fjär..av.1+il..nn.1:5.390e-16|,|fjär+ilar|,,9,8,CJ,1,egna meningar,0
9,.,MAD,|,|,|,|,|,,10,3,IP,1,egna meningar,0
10,Att,IE,|att|,|att..sn.1|,|att..1:-1.000|,|,|,,1,7,SS,1,egna meningar,1
10,tillbringa,VB.INF.AKT,|tillbringa|,|tillbringa..vb.1|,|tillbringa..1:-1.000|,|till..ab.1+bringa..vb.1:5.196e-11|,|till+bringa|,0.0,2,1,IF,1,egna meningar,1
10,tid,NN.UTR.SIN.IND.NOM,|tid|,|tid..nn.1|,|tid..1:-1.000|,|,|,0.0,3,2,OO,1,egna meningar,1
10,med,PP,|med|,|med..pp.1|,|med..1:-1.000|med..2:-1.000|,|,|,,4,2,OA,1,egna meningar,1
10,min,PS.UTR.SIN.DEF,|jag|,|jag..pn.1|,|jag..1:-1.000|,|,|,,5,6,DT,1,egna meningar,1
10,familj,NN.UTR.SIN.IND.NOM,|familj|,|familj..nn.1|,|familj..1:0.996|familj..2:0.004|,|,|,0.0,6,4,PA,1,egna meningar,1
10,är,VB.PRS.AKT,|vara|,|vara..vb.1|,|vara..1:-1.000|,|,|,0.0,7,0,ROOT,1,egna meningar,1
10,det,DT.NEU.SIN.DEF,|en|den|,|en..al.1|den..pn.1|,|den..1:-1.000|en..2:-1.000|den..2:-1.000|,|,|,,8,9,DT,1,egna meningar,1
10,bästa,JJ.SUV.UTR+NEU.SIN+PLU.DEF.NOM,|bra|bäst|god|,|bra..av.1|bäst..av.1|god..av.1|,|bäst..1:0.552|bra..3:0.204|god..1:0.163|god..3:0.042|bra..5:0.029|god..2:0.009|,|,|,1.0,9,7,SP,1,egna meningar,1
10,jag,PN.UTR.SIN.DEF.SUB,|jag|,|jag..pn.1|,|jag..1:-1.000|,|,|,,10,11,SS,1,egna meningar,1
10,vet,VB.PRS.AKT,|veta|,|veta..vb.1|,|veta..1:-1.000|,|,|,0.0,11,7,MS,1,egna meningar,1
10,.,MAD,|,|,|,|,|,,12,7,IP,1,egna meningar,1
11,Idag,AB,|idag|,|idag..ab.1|,|i_dag..1:-1.000|i_dag..2:-1.000|,|,|,,1,2,TA,0,egna meningar,1
11,är,VB.PRS.AKT,|vara|,|vara..vb.1|,|vara..1:-1.000|,|,|,0.0,2,5,MS,0,egna meningar,1
11,det,PN.NEU.SIN.DEF.SUB+OBJ,|den|,|den..pn.1|,|den..2:-1.000|,|,|,,3,2,SS,0,egna meningar,1
11,torsdag,NN.UTR.SIN.IND.NOM,|torsdag|,|torsdag..nn.1|,|torsdag..1:-1.000|,|,|,0.0,4,2,SP,0,egna meningar,1
11,och,KN,|och|,|och..kn.1|,|och..1:-1.000|,|,|,,5,0,ROOT,0,egna meningar,1
11,jag,PN.UTR.SIN.DEF.SUB,|jag|,|jag..pn.1|,|jag..1:-1.000|,|,|,,6,7,SS,0,egna meningar,1
11,har,VB.PRS.AKT,|ha|,|ha..vb.1|,|ha..1:0.710|ha..3:0.290|,|,|,0.0,7,5,MS,0,egna meningar,1
11,en,DT.UTR.SIN.IND,|en|,|en..al.1|,|den..1:-1.000|en..2:-1.000|,|,|,,8,10,DT,0,egna meningar,1
11,ledig,JJ.POS.UTR.SIN.IND.NOM,|ledig|,|ledig..av.1|,|ledig..1:0.987|ledig..3:0.013|ledig..2:0.001|,|,|,1.0,9,10,AT,0,egna meningar,1
11,dag,NN.UTR.SIN.IND.NOM,|dag|,|dag..nn.1|,|dag..1:0.904|dag..2:0.096|,|,|,0.0,10,7,OO,0,egna meningar,1
11,imorgon,AB,|imorgon|,|imorgon..ab.1|,|i_morgon..1:-1.000|,|,|,,11,7,AA,0,egna meningar,1
11,.,MAD,|,|,|,|,|,,12,5,IP,0,egna meningar,1
12,Min,PS.UTR.SIN.DEF,|jag|,|jag..pn.1|,|jag..1:-1.000|,|,|,,1,2,DT,0,egna meningar,0
